sentences
งานวิจัยนี้มีวัตถุประสงค์เพื่อศึกษาประสิทธิภาพการใช้พลังงานในอาคารเรียน กรณีศึกษา อาคารภาควิชาวิศวกรรมโยธา มหาวิทยาลัยเกษตรศาสตร์
เนื่องจากอาคารดังกล่าวติดตั้งระบบติดตามการใช้พลังงานในอาคาร
โดยศึกษาตามการรวบรวมปัจจัยที่ส่งผลต่อประสิทธิภาพการใช้พลังงานในอาคารจากบทความและงานวิจัยที่เกี่ยวข้อง จากการเก็บข้อมูลการใช้พลังงานไฟฟ้าของอาคารผ่านระบบติดตามการใช้พลังงานเป็นระยะเวลา 12 เดือน
ผลจากการศึกษาวิเคราะห์ข้อมูลในปัจจัยที่เกี่ยวกับรูปแบบการใช้งานและรูปแบบอาคาร พบว่า การใช้พลังงานในระบบปรับอากาศของห้องที่ได้รับแสงอาทิตย์โดยตรง ใช้พลังงานมากกว่าห้องฝั่งที่ไม่ได้รับแสงอาทิตย์
เนื่องจากถูกบดบังจากอาคารข้างเคียง ถึงร้อยละ 37
และการใช้งานของห้องขนาดใหญ่ ซึ่งใช้เครื่องปรับอากาศขนาดใหญ่หลายเครื่องนั้น ยังขาดประสิทธิภาพ
จึงเสนอมาตรการเพื่อปรับปรุงประสิทธิภาพการใช้พลังงานในอาคารกรณีศึกษา 3 ข้อ
(1) มุ่งเน้นใช้ห้องที่ได้รับแสงอาทิตย์เข้าน้อยกว่าก่อน
จะลดการใช้พลังงานได้ร้อยละ 0.4
โดยไม่มีการลงทุนใด ๆ
(2) ลดจำนวนห้องขนาดใหญ่
เพื่อให้สอดคล้องกับการใช้งาน
โดยแบ่งกั้นห้องให้มีขนาดที่เหมาะสม
จะลดการใช้พลังงานได้ร้อยละ 2.2
(3) ลดรังสีแสงอาทิตย์ที่กระทบกับผนังอาคาร
โดยสร้างผนังสีเขียว
จะลดการใช้พลังงานได้ร้อยละ 4.6
และยังอาจมีมาตรการเพิ่มเติมในการใช้พลังงานทางเลือกด้วยพลังงานแสงอาทิตย์
จะลดการใช้พลังงานได้ร้อยละ 13
